mean_branch_length_nuc	median_branch_length_nuc	mean_branch_length_pro	media_branch_length_pro	Human_snp_per_gene	Chimp_snp_per_gene	Gorilla_snp_per_gene	Mouse_snp_per_gene	Dog_snp_per_gene	Human_BL	Chimp_BL	Gorilla_BL	Mouse_BL	Dog_BL	Alignment_length	hg18Length	Hg19Length	hg38Length	mouseGRCm38Length	dogCF3_1Length	human_chrom	Human_singleton	Human_deNove	Human_de_nove_event	Great_Ape_mean_branch_length_nuc	Ape_mean_branch_length_nuc	Primates_mean_branch_length_nuc	Rodents_mean_branch_length_nuc	Euarchontoglires_mean_branch_length_nuc	Laurasiatheria_mean_branch_length_nuc	Great_Ape_media_branch_length_nuc	Ape_median_branch_length_nuc	Primates_median_branch_length_nuc	Rodents_median_branch_length_nuc	Euarchontoglires_median_branch_length_nuc	Laurasiatheria_median_branch_length_nuc
DAAM2	0.0262484409821622	0.0092470005	0.0128878147664865	0.0044050385	0.0358788676761027	0.00625411454904542	0.00164581961816985	0.00690954773869347	0.00582464745554874	0.0038357364	0.000843129	0.0030076283	0.0549221112	0.0291560485	3201	3038	3038	3038	3184	3262	6	0.0161290322580645	0	0	0.00242592168571429	0.00263605404444444	0.00825628422	0.0380604100791667	0.02048009932875	0.0158825361277778	0.0012520271	0.0021056462	0.0028018183	0.0280377568	0.008417759	0.0074605054
DAB1	0.00910243121186441	0.0030885424	0.00414296073050847	0.0019807304	0.0228960396039604	0.010519801980198	0.00371287128712871	0.00233236151603499	0.00466472303206997	2.1662e-06	0.000605064	0.0022491417	0.0159301617	0.0068260327	1665	1616	1616	1616	1715	1715	1	0.0142326732673267	0	0	0.00198256694285714	0.00187708696666667	0.00321372042894737	0.0196846043958333	0.00969643952179487	0.00772203845714286	0.0012025271	0.0014103852	0.0011669396	0.0114051487	0.0037571711	0.0031290718
DAB2	0.0182725249951872	0.006940373	0.0189431215903743	0.0071815686	0.0301484230055659	0.00974025974025974	0.00324675324675325	0.0072234762979684	0.00493938033228559	0.0009402161	0.0043625086	0.0026943349	0.028806826	0.0172689674	2310	2156	2156	2156	2215	2227	5	0.0176252319109462	0	0	0.00242302801428571	0.0029542479	0.0073538078775	0.0331014181458333	0.01752823272875	0.0133298041736842	0.0008796652	0.0030146255	0.0026154764	0.0219170123	0.0080537134	0.0055676821
DAG1	0.0225291327201058	0.0087796286	0.0129205523973545	0.006511676	0.0330073349633252	0.00733496332518337	0.00366748166259169	0.00251256281407035	0.010443864229765	0.001888157	0.0007497853	0.0034029685	0.0250845814	0.0507621295	2685	818	818	401	398	383	3	0.0134474327628362	0	0	0.00334884902857143	0.00377297933333333	0.00997277771	0.0344025747833333	0.02030479134125	0.0190931176302632	0.0018689692	0.0029904211	0.0031381493	0.024632354	0.0095172874	0.0063953894
DAGLB	0.0311324393612717	0.0154079759	0.0330507739138728	0.0154511296	0.0426863972680706	0.00739897552646557	0.00284575981787137	0.0122154358689617	0.00537634408602151	0.0029789499	0.0016217225	0.0030576512	0.0396660882	0.0533138397	2016	1757	1757	1725	1801	1860	7	0.0216277746158224	0	0	0.00286003872	0.00527631755714286	0.0129496802736842	0.0449084804583333	0.0273343368320513	0.0357565851709677	0.0030147557	0.0020568263	0.0031992294	0.0332527554	0.0148971079	0.0160293857
DAO	0.0277069705584699	0.0100331123	0.031336578347541	0.0148013212	0.0306627101879327	0.0158259149357072	0.000989119683481701	0.0109289617486339	0.0173724212812161	0.0022345779	0.0028718109	0.0057843553	0.0476458538	0.0450533551	1041	1011	1011	921	915	921	12	0.019782393669634	0	0	0.00348987214	0.00501301428571429	0.0149894099861111	0.0502601102125	0.0285477078723684	0.0217988839243243	0.0038319751	0.0038426593	0.0039946232	0.0414614317	0.0132009683	0.0073872787
DAPK1	0.019882784098895	0.0078766392	0.00792635516243094	0.0032397957	0.0277712402918334	0.00917863026594493	0.000235349493998588	0.00965160075329567	0.00915750915750916	0.0032803701	0.0024105058	0.0019459905	0.0221581656	0.0416585382	4290	4249	4249	2998	4248	4368	9	0.0167098140738997	0	0	0.00388119634285714	0.00377753202222222	0.009269020615	0.0365437675041667	0.02063422187375	0.0172890649014286	0.002393176	0.0029373405	0.0032109462	0.0268864412	0.008387621	0.0075741552
DAPK2	0.0141982359103825	0.0056628028	0.00628460876830601	2.7404e-06	0.0406800242865817	0.00850030358227079	0.0042501517911354	0.00770712909441233	0.00971463266545234	0.0023954977	2.8018e-06	0.0080473406	0.0145206333	0.026329874	843	1647	1647	1675	1038	1647	15	0.0236794171220401	0	0	0.00294111158571429	0.00281338493333333	0.0063065869925	0.0244643569	0.0129711233538462	0.0121755485569444	0.0023754576	0.002374688	0.0024150192	0.0129824066	0.0064969678	0.0042380403
DAPL1	0.0189992688432432	0.0085532731	0.0229217165664865	0.0097789837	0.037344398340249	0.020746887966805	0.004149377593361	0.0134228187919463	0	0.0045726473	0.0033069438	0.003286993	0.0375188213	0.0385384617	321	241	241	149	149	149	2	0.024896265560166	0	0	0.00362148831428571	0.00391650616666667	0.0098649228775	0.0325946440708333	0.01837633637375	0.0119228926932432	0.0031473862	0.0031755916	0.0049548645	0.0232621327	0.0095259754	0.0052756989
DAPP1	0.021015430615847	0.0075091262	0.0195733726967213	0.0056313272	0.0163447251114413	0.00891530460624071	0.00297176820208024	0.00445765230312036	0.00865265760197775	0.0013496973	2.3317e-06	0.0082016932	0.0300462356	0.0276353583	840	673	673	714	673	809	4	0.00742942050520059	0	0	0.00280047447142857	0.00366816247777778	0.0099081183175	0.0423803764875	0.0235482647475	0.0230008871916667	0.0012930754	0.0012930238	0.0014374874	0.028798224	0.0094417131	0.0060870075
DARS	0.0117253326262032	0.0045285927	0.00603532081871658	0.0028063426	0.0277970813064628	0.00555941626129256	0.00208478109798471	0.00816023738872404	0.00593471810089021	0.0006734046	0.0013534974	0.0068252606	0.0156626938	0.0200000511	1503	1439	1439	1348	1348	1348	2	0.0208478109798471	0	0	0.00265259012857143	0.00243426713333333	0.0052715110275	0.0203199479333333	0.0110671618375	0.00808617459868421	0.0006660832	0.0013350691	0.0014507205	0.0155203846	0.0048347566	0.0036672315
DARS2	0.0225077500420765	0.0080007729	0.0259836494409836	0.0111237938	0.0197165742452249	0.0055452865064695	0.00123228589032656	0.0055452865064695	0.00369685767097967	0.004234634	0.0010627964	0.0016935028	0.042411295	0.044449691	1911	1623	1623	1623	1623	1623	1	0.0123228589032656	0	0	0.00162245192	0.0028141841	0.00921512056842105	0.0366495820166667	0.0209714053628205	0.0210204034097222	0.0010489569	0.0010490609	0.0026501631	0.0290316218	0.0092779021	0.0075567544
DAW1	0.0236773076187845	0.0102101203	0.0234116871138122	0.0103325932	0.0304276315789474	0.0106907894736842	0.00575657894736842	0.0123762376237624	0.00862745098039216	0.0040944421	2.3052e-06	NA	0.0274688106	0.0366011803	1245	1216	1216	1173	1212	1275	2	0.0164473684210526	0	0	0.00511947502	0.0055962797	0.0109888895947368	0.0477246667416667	0.0258126750921053	0.0199982255594595	0.0024262916	0.0034953702	0.0041190453	0.0311526955	0.0113960656	0.0070239075
DBF4	0.0216315107187166	0.0069304971	0.0309806944668449	0.0109228137	0.0224014336917563	0.00761648745519713	0.00806451612903226	0.00774840474020055	0.00815586769370186	0.0005052594	2.0131e-06	0.0011820503	0.0608278764	0.0381130348	2034	2232	2232	1003	2194	2207	7	0.0129928315412186	0	0	0.0015178806	0.00257133791111111	0.0089984328025	0.0453085979166667	0.02276123521625	0.0149948871434211	0.0011724842	0.00099296	0.0029752814	0.0393011094	0.0093903012	0.0058468103
DBR1	0.0208243995262295	0.0062951899	0.0216922520606557	0.0084756274	0.0197628458498024	0.00790513833992095	0	0.00403225806451613	0.00268817204301075	0.0025565754	0.0006342788	0.004743717	0.0523737528	0.0240356688	1626	1012	1012	744	744	744	3	0.00691699604743083	0	0	0.00287375941428571	0.00327288952222222	0.0085483004925	0.0389606028083333	0.02160019163	0.0160017789888889	0.0024673209	0.0024699097	0.0027362151	0.0290087697	0.0063277986	0.0053327323
DBT	0.0186480184340541	0.0067118513	0.0175497931691892	0.0082329472	0.0200772200772201	0.00617760617760618	0.00154440154440154	0.00650406504065041	0.0024390243902439	0.0006946812	0.0013905748	0.0020765076	0.0317719512	0.0377429892	1446	1295	1295	1301	1230	1230	1	0.01003861003861	0	0	0.00208738438571429	0.00224097851111111	0.0083328842975	0.0409911741772727	0.019704605675641	0.0173327392824324	0.0006927014	0.0013863009	0.0014009822	0.0316640989	0.0063248958	0.0061774495
DCAF10	0.0109592038664804	0.0034036683	0.00315957131955307	2.365e-06	0.021932424422051	0.001778304682869	0.001778304682869	0.00355618776671408	0.00535117056856187	0.0008268596	0.0008276939	NA	0.0297882535	0.0210443256	1239	1687	1687	1413	1406	1495	9	0.010669828097214	0	0	0.00032728428	0.000622102657142857	0.00345388876666667	0.0170047023958333	0.00916887013552632	0.00791740984571429	2.1828e-06	2.1828e-06	0.0008268513	0.0116543754	0.0036143234	0.0032090996
DCAF12	0.0172214100465241	0.0042254014	0.0120768145262032	0.0027738333	0.0177777777777778	0.00444444444444444	0.00177777777777778	0.00355555555555556	0.000888888888888889	2.4229e-06	2.5086e-06	0.001944593	0.0345721219	0.0143529775	1359	1125	1125	1125	1125	1125	9	0.00888888888888889	0	0	0.00144105561428571	0.00180239665555556	0.005402777405	0.0567035247666667	0.0225577245125	0.0088717135	0.0009794768	0.0008598431	0.0019422883	0.0183487198	0.0045139783	0.0034595305
DCAF17	0.0130579601259259	0.0046097042	0.0140485346137566	0.0052177479	0.023407022106632	0.00325097529258778	0.00195058517555267	0.00949367088607595	0.0045016077170418	0.0019536833	2.3976e-06	0.0045945762	0.0246956443	0.0156189466	1554	1538	1538	1369	1580	1555	2	0.0149544863459038	0	0	0.00260875507142857	0.00228110677777778	0.005518644085	0.025350758625	0.01295438051125	0.00887475843289474	0.0012880046	0.0015431039	0.0019374753	0.0179408568	0.0052802481	0.0036409242
DCAF6	0.0203208314891892	0.005951206	0.0182721977740541	0.0061306617	0.0207869339272457	0.00334075723830735	0.00185597624350408	0.0109579356663132	0.00505050505050505	0.0020843005	2.5268e-06	0.0066872544	0.0232826905	0.0167375245	2547	2694	2694	2694	2829	2772	1	0.0126206384558278	0	0	0.00253644152857143	0.00267843986666667	0.0049726221725	0.0312448710666667	0.01608606103875	0.0189135560291667	0.0015717311	0.0015698492	0.0013563449	0.0243454605	0.0055563961	0.0048061122
DCAF7	0.0118532899219251	0.0044665749	0.000178517020320856	0	0.0125391849529781	0.00313479623824451	0.00208986415882968	0.00557103064066852	0.00313807531380753	0.0019622499	0.0010003716	0.0019718543	0.0262760365	0.0169986833	1026	957	957	956	718	956	17	0.00731452455590387	0.00104493207941484	1	0.00237883012857143	0.00239653837777778	0.00667498525	0.0201346389416667	0.0123498008525	0.00977191493684211	0.0009767648	0.0019518554	0.0012936292	0.0153846442	0.0050051685	0.0034064265
DCK	0.0162233541656085	0.0055352014	0.0132778330407407	0.0046799675	0.0282087447108604	0.0253878702397743	0.00987306064880113	0.0075187969924812	0.0075187969924812	0.0026491966	2.4678e-06	0.0039717365	0.0469506129	0.0368015645	780	709	709	665	665	665	4	0.0197461212976023	0	0	0.00276402838571429	0.0025905396	0.007288842195	0.0343957485708333	0.01772220436375	0.0107031012381579	0.0025704916	0.0025700271	0.0026235109	0.0244758378	0.0053147271	0.0038352237
DCLK2	0.0172135523084746	0.0059929796	0.00770669432372881	0.0020926693	0.0255123379339189	0.00334588038477624	0.00376411543287327	0.00573215216258468	0.00563380281690141	0.0004698717	0.0004699088	0.0014133851	0.0296913658	0.0257586224	2130	2391	2391	1811	1919	2485	4	0.0171476369719783	0	0	0.00149648935714286	0.00181382998888889	0.005581019185	0.0374943033363636	0.0178648627141026	0.0152145815485294	0.0004696447	0.0014097558	0.0019177163	0.0270847808	0.0061131259	0.0059851777
DCLK3	0.0390229419775148	0.013534113	0.0441390754248521	0.0147202892	0.0299107142857143	0.0142857142857143	0.00669642857142857	0.0144927536231884	0.021486643437863	0.0005139648	0.0005013905	0.0045846859	0.052999014	0.0910370156	1941	2240	2240	2259	2139	1722	3	0.0160714285714286	0	0	0.00326420258571429	0.00388030213333333	0.01301218938	0.0571227246111111	0.0296143171675676	0.029623492165625	0.0015487181	0.0019898756	0.0033444307	0.045992546	0.0113085713	0.0119471729
DCLRE1A	0.0334954751192513	0.0123097661	0.0458008424663102	0.0166319146	0.0211830535571543	0.0119904076738609	0.00279776179056755	0	0.0118764845605701	0.0027079905	0.0006549681	0.0043968982	0.061310487	0.0603939462	3150	2502	2502	2502	2494	2526	10	0.0143884892086331	0.000399680255795364	1	0.0045140101	0.00473718484444444	0.01246920659	0.0658987021833333	0.03300093652125	0.0254703337351351	0.0026077294	0.0042473508	0.0045890789	0.0524980797	0.0141235191	0.0087517478
DCLRE1C	0.0258999473857143	0.0108652075	0.0290607224291005	0.0130140393	0.0317931326833404	0.01992369648156	0.00211954217888936	0.007210205213533	0.00797165633303809	0.0033433001	0.0041907407	0.0049473584	0.0487925588	0.0465166024	2067	2359	2359	2365	1803	2258	10	0.0169563374311149	0	0	0.00413330487142857	0.00463335071111111	0.010462008295	0.0433713265625	0.02284677429	0.0223034494842105	0.003063802	0.0035051954	0.0047306547	0.0254737442	0.0118205431	0.0093598854
DCN	0.0212432076291005	0.0071556378	0.0264929804407407	0.0090209506	0.0188679245283019	0.00628930817610063	0.00359389038634322	0.0145413870246085	0.00434310532030402	2.4772e-06	2.247e-06	0.0031658311	0.0500720945	0.0412365673	1065	1113	1113	918	894	921	12	0.00898472596585804	0	0	0.00275175151428571	0.00266294098888889	0.00829290748	0.0466849490375	0.0234571960925	0.0161039897592105	0.001881467	0.0018854176	0.0019805541	0.0389277927	0.0085433828	0.0054070935
DCP1A	0.025371328397861	0.0070700837	0.0361201550160428	0.006449454	0.027823240589198	0.00545553737043099	0.00381887615930169	0.00392156862745098	0.00785854616895874	0.0023120453	2.6901e-06	0.0031753806	0.0286312979	0.0340335723	1740	1833	1833	1588	1785	1527	3	0.0147299509001637	0	0	0.0023179449	0.0027720631	0.007516324035	0.0343050073208333	0.01804409356625	0.0138994218243243	0.0011499017	0.0023074584	0.0033588948	0.0286662641	0.0068966317	0.0053477387
DCP2	0.0134003873122905	0.0040950949	0.0107060270709497	0.0030880459	0.0167753960857409	0.0177073625349487	0.00279589934762349	0.00380228136882129	0.00655200655200655	0.0016664872	2.6226e-06	0.0033251535	0.035278341	0.0161777969	1266	1073	1073	1046	1052	1221	5	0.0121155638397018	0	0	0.00166915432857143	0.00191238992222222	0.0054705696175	0.02980789857	0.0163013605065789	0.00841763403472222	0.0010533114	0.0015787124	0.0016292115	0.0188143766	0.0050212981	0.0028874661
DCPS	0.0248955083704918	0.0108109734	0.0299141789459016	0.0138784385	0.0534351145038168	0.0141766630316249	0.00218102508178844	0.00786369593709043	0.0102960102960103	0.0060990354	2.8646e-06	0.0023524152	0.0202915985	0.0605878642	1011	917	917	805	763	777	11	0.0272628135223555	0	0	0.00432176402857143	0.00461245533333333	0.0129595691763158	0.038183040625	0.0255023540589744	0.0214194417851351	0.001192019	0.0028708804	0.0050486346	0.0259236648	0.0123222092	0.0089820682
DCSTAMP	0.0348125632352941	0.0128369804	0.0528761171652406	0.0221586258	0.0348148148148148	0.0103703703703704	0.00148148148148148	0.0185048112509252	0.0115163147792706	0.0028519619	0.000712995	0.0075466618	0.0479464516	0.0539688593	1410	1350	1350	1350	1351	1042	8	0.017037037037037	0	0	0.00423928128571429	0.00500870568888889	0.0122764762175	0.0689995031583333	0.03357104769	0.0297822569	0.0028447434	0.0035935193	0.0042466064	0.0497297295	0.011328253	0.0112923004
DCT	0.0263513150251337	0.0111218323	0.0277602400385027	0.0108090783	0.0354430379746835	0.0160337552742616	0.00843881856540084	0.00552486187845304	0.00836820083682008	0.0032604106	0.0043700585	0.0057308939	0.0481159263	0.0459467583	1551	1185	1185	1328	1086	1673	13	0.020253164556962	0	0	0.00443553651428571	0.00475881117777778	0.0123207966184211	0.048701933975	0.0264511254705128	0.0212629669710526	0.0038884264	0.0044122206	0.0044494853	0.0409984665	0.011228552	0.0083786287
DCTD	0.0204922415491892	0.0096079952	0.0146548527756757	0.0085968935	0.0280210157618214	0.010507880910683	0	0.012448132780083	0.0207373271889401	0.007580668	2.3368e-06	2.5251e-06	0.0347823965	0.0466467379	534	571	571	465	482	434	4	0.0192644483362522	0	0	0.00516880165714286	0.00506311167777778	0.0133043847025	0.0325156764083333	0.02012449416	0.0199722646065789	0.0037372726	0.0037532858	0.0038559766	0.0206267009	0.0097023817	0.0070183436
DCTN1	0.0171447336690608	0.0061715904	0.00719918431381216	0.002520541	0.0292351866353433	0.00704776820673453	0.00208822761681023	0.00631521142229544	0.00356946732564525	0.0010808393	0.0013427104	0.0035429578	0.0351531062	0.0267226285	3717	3831	3831	3633	3642	3642	2	0.0193161054554946	0	0	0.00146764036	0.00270525865714286	0.00725308414736842	0.0279499412916667	0.0158353364935897	0.0148498343930556	0.0010893169	0.0011151913	0.0020222486	0.0204740002	0.0063933795	0.0049547991
DCTN3	0.0166539104540107	0.0059996572	0.00997676745294118	0.0054280092	0.033167495854063	0.0033167495854063	0	0.00793650793650794	0.0106666666666667	0.0038137542	2.3905e-06	0.0058889587	0.0343452288	0.0179913238	558	603	603	472	504	375	9	0.021558872305141	0	0	0.00231650751428571	0.00280792361111111	0.0075602792475	0.0305523241416667	0.0161797326825	0.0107137700947368	2.0997e-06	0.0017807861	0.0036781936	0.021847447	0.0059979133	0.0038515479
DCTN4	0.0134065025047619	0.005193534	0.00427915937936508	0.0025063851	0.0219155844155844	0.00568181818181818	0.00324675324675325	0.00916666666666667	0.00810372771474878	0.0028873001	2.5614e-06	0.0007059584	0.0258904747	0.0296661807	1401	1232	1232	1230	1200	1234	5	0.0113636363636364	0	0	0.00218081025714286	0.00240729115555556	0.006577304775	0.0224292004291667	0.01290194719125	0.0115670947842105	0.0007140923	0.000714337	0.0025813718	0.0169896778	0.0058170062	0.0043770062
DCTN5	0.0136139444153439	0.0053560641	0.00100931217248677	0	0.0129032258064516	0.00860215053763441	0	0.00496277915632754	0.00744416873449132	0.0039288303	0.0019482039	0.0023476884	0.0197704533	0.0271189094	546	465	465	403	403	403	16	0.00645161290322581	0	0	0.00268582674285714	0.00270278637777778	0.0045571229525	0.0213965900875	0.01169131417	0.0102155675644737	0.0022427287	0.0018390395	0.0018705326	0.0102482075	0.0055310808	0.0037297545
DCTN6	0.0211016403684492	0.0059137897	0.00852123898930481	2.6885e-06	0.0186335403726708	0.0082815734989648	0.0020703933747412	0.00886524822695036	0.00886917960088692	2.5889e-06	2.5889e-06	0.0060061405	0.0619174995	0.0392902416	570	483	483	451	564	451	8	0.010351966873706	0	0	0.00180047124285714	0.00187022274444444	0.0061825856225	0.035753315575	0.02130527553625	0.0128073751094595	2.6514e-06	2.6514e-06	0.0018203509	0.0189914819	0.0057165947	0.005973352
DCUN1D3	0.0130366891465241	0.0035369334	0.00798981883529412	0.0043530923	0.0205223880597015	0.00746268656716418	0.00373134328358209	0.00186567164179104	0.00373134328358209	0.005662934	0.0011088029	0.0022497358	0.008787455	0.0203763596	912	536	536	536	536	536	16	0.0111940298507463	0	0	0.00267697767142857	0.0024468235	0.00488770279736842	0.01713165975	0.00928847891282051	0.00980811298421053	0.002196383	0.0022013706	0.0023590106	0.0122052788	0.0036523188	0.002439709
DCUN1D4	0.0106290321278075	0.0038555688	0.00294734689625668	2.3033e-06	0.0161443494776828	0.000949667616334283	0.00189933523266857	0.00455580865603645	0.00266903914590747	2.838e-06	0.0016924157	0.0025589316	0.0148790682	0.0076524012	849	1053	1053	962	878	1124	4	0.0113960113960114	0	0	0.00105061172857143	0.001493472	0.00503306429210526	0.0197916054666667	0.0108150075820513	0.00597674429078947	0.0011765147	0.0011792097	0.0012292402	0.0139427394	0.0049703687	0.0024582875
DDB1	0.0158305244391534	0.0060767841	0.00113064262063492	2.413e-06	0.0150421179302046	0.00451263537906137	0.000902527075812274	0	0.00549115314215985	0.0008833001	2.3129e-06	0.0035665182	0.0187889775	0.0366938328	3420	3324	3324	3278	3314	3278	11	0.0111311672683514	0	0	0.00180411457142857	0.00215819121111111	0.006642634455	0.0281343168291667	0.01481464655	0.0130333313618421	0.0008781573	0.0011710335	0.0017794495	0.0159943505	0.0059667871	0.0042979846
DDB2	0.0209445619550802	0.0058876785	0.0278804016010695	0.0080868712	0.021680216802168	0.00542005420054201	0.001806684733514	0.001806684733514	0.00395569620253165	0.000827418	2.1495e-06	0.000772123	0.0159834722	0.0270393576	1281	1107	1107	1107	1107	1264	11	0.015356820234869	0	0	0.00191340875714286	0.00281025743333333	0.0065976243525	0.0363681752375	0.018883304385	0.0143193445460526	0.0007811087	0.0007816184	0.0015722536	0.0230203739	0.0076762001	0.0040029548
DDC	0.0291151108497238	0.0131348647	0.0315802281856354	0.0153169588	0.0254180602006689	0.0107023411371237	0.00535117056856187	0.00384862091084028	0.0138067061143984	0.0032889283	2.4126e-06	0.0033696283	0.0346194923	0.090533754	1440	1495	1495	1489	1559	1521	7	0.0153846153846154	0	0	0.0037165295	0.00422152491111111	0.0117578802394737	0.046008168075	0.0264686571947368	0.0299378087458333	0.0014282486	0.0028667287	0.0030458887	0.0370808894	0.0111881862	0.0133322563
DDHD2	0.0190976004464865	0.00650052	0.0210556819513514	0.0089266405	0.0179291797400269	0.00313760645450471	0.000896458987001345	0.00224215246636771	0.00771324863883848	0.0004807866	3.2038e-06	0.0025855277	0.0463751185	0.026240314	2133	2231	2231	2170	2230	2204	8	0.00941281936351412	0	0	0.00071023258	0.00218163154285714	0.00695444037105263	0.0373513954916667	0.0229849736089744	0.0124704383878378	0.0004713282	0.0004707811	0.0018310112	0.027785266	0.0074594053	0.0046735532
DDOST	0.0210355716994652	0.00877492	0.0147523375470588	0.0050905571	0.0351020408163265	0.00897959183673469	0.0073469387755102	0.0078740157480315	0.0143945808636749	0.0007868931	0.0007524049	0.0023175982	0.0221780107	0.0639844531	1317	1225	1225	1016	1016	1181	1	0.0195918367346939	0	0	0.00262594654285714	0.00306556807777778	0.0088989201775	0.0330805663875	0.01845319636	0.0180088280608108	0.0007609532	0.0015016504	0.0022731391	0.0273096823	0.0072827257	0.0062904653
DDR2	0.0159916273386243	0.0057861065	0.0100018545026455	0.0034076025	0.0199186991869919	0.00528455284552846	0.00365853658536585	0.00610500610500611	0.00975609756097561	0.0011729563	2.4161e-06	0.0023731453	0.0269038203	0.0235095464	2562	2460	2460	2514	2457	2460	1	0.0130081300813008	0	0	0.00217846202857143	0.00222425541111111	0.0054658866875	0.0253172026041667	0.01370133854625	0.016163936125	0.0007810465	0.0011727474	0.0011662551	0.0202928385	0.0060448728	0.0050406207
DDRGK1	0.0250660022243243	0.0074334565	0.0271288254908108	0.0100838398	0.0334788937409025	0.00873362445414847	0.00291120815138282	0.00374064837905237	0.0115942028985507	0.0044090999	0.0011765631	2.6471e-06	0.0292669145	0.038295047	945	687	687	687	802	690	20	0.0203784570596798	0	0	0.00198243051428571	0.00250024296666667	0.0098230634925	0.0377742801636364	0.0194114786025641	0.0176512305756757	0.0010621619	0.0010627823	0.0033339088	0.0284199795	0.0078798666	0.0055475091
DDX1	0.0163459586185792	0.0057632081	0.00599598730054645	0.0025108242	0.0221579961464355	0.010597302504817	0.00240847784200385	0.00385356454720617	0.00240847784200385	0.0018970216	2.2772e-06	0.0014218102	0.0264281503	0.0199973511	2220	2076	2076	2076	2076	2076	2	0.0139691714836224	0	0	0.00168261805714286	0.00221909155555556	0.00521500955526316	0.0296001892227273	0.0140600423802632	0.0166077312148649	0.001354929	0.0017922473	0.0020080384	0.0194668546	0.0056355157	0.0054630554
DDX10	0.0192569421549133	0.0079537569	0.0229697433780347	0.0099146905	0.0285487708168121	0.00555114988104679	0.00277557494052339	0.0141342756183746	0.00762439807383628	0.004636076	0.0003835713	0.0059917653	0.0300454483	0.0340088629	2595	2522	2522	2264	2264	2492	11	0.0198255352894528	0	0	0.0024310817	0.00385138815714286	0.0102614990947368	0.0295742607727273	0.0174763232972973	0.0144505514617647	0.0003862146	0.0005777253	0.002831901	0.0218511425	0.0080120127	0.006607248
DDX17	0.0116293122657754	0.0036999302	0.00181973712566845	2.498e-06	0.0161016949152542	0.00296610169491525	0.00296610169491525	0.00142551674982181	0.00530660377358491	2.5553e-06	0.0009853681	0.0019719065	0.0180865948	0.0085671478	1956	2360	2360	1793	1403	1696	22	0.0105932203389831	0	0	0.00139464718571429	0.00155477328888889	0.0041906445375	0.022228389425	0.01114001357375	0.00931241211756757	0.0005123818	0.0010247148	0.0015338329	0.0170419554	0.0045610822	0.0032664525
DDX24	0.0276020785687831	0.0097753917	0.0346916571634921	0.0135679096	0.0340007555723461	0.0109557990177559	0.00264450321118247	0.00994379593601383	0.0087260034904014	0.0027528915	0.0027602397	0.0039399731	0.0468372006	0.0411125226	2559	2647	2647	2313	2313	2292	14	0.017000377786173	0	0	0.00326195948571429	0.00401518067777778	0.0122965827775	0.0442944386833333	0.02575309903	0.0191584438328947	0.0027438811	0.0027499818	0.0039601785	0.0373827711	0.0098089907	0.0083446349
DDX25	0.0187200565946524	0.0068839355	0.0141787771812834	0.0054440623	0.0204220558202859	0.00408441116405718	0.00136147038801906	0.00300751879699248	0.0050709939148073	0.0021909928	0.000727451	0.0048353534	0.0200512902	0.0214076427	1446	1469	1469	1327	1330	986	11	0.0136147038801906	0	0	0.00263283172857143	0.00344668623333333	0.0083089902925	0.0269521446083333	0.0183803369705128	0.0150970750657895	0.0021813405	0.0021840218	0.0030641445	0.0196476567	0.0068350283	0.0061963589
DDX27	0.019005073647541	0.0081829519	0.0159661771612022	0.006709676	0.0234438156831043	0.00767987065481002	0.00242522231204527	0.00532150776053215	0.00589473684210526	0.003042839	2.806e-06	0.0040214078	0.0284953831	0.0272807579	2289	2474	2474	2526	2255	2375	20	0.0125303152789006	0	0	0.00295938135714286	0.00283260924444444	0.0088864825368421	0.0313016206583333	0.0198455852102564	0.0149734031319444	0.0016371329	0.0029956284	0.0029234428	0.0240851013	0.0086531192	0.0074492249
DDX31	0.029214934016763	0.012099819	0.0330450011676301	0.0137164543	0.0362180709111704	0.00838734273732368	0.00457491422035837	0.00530222693531283	0.00753390256152687	0.0026164262	2.8412e-06	0.0048401607	0.0290711629	0.0513713721	2028	2623	2623	2567	1886	1991	9	0.0202058711399161	0	0	0.00590699421428571	0.00607895997777778	0.00986904152	0.0447760181625	0.02553721791375	0.0360429526032258	0.0019935067	0.0025102313	0.0037637819	0.0271236159	0.0116095323	0.011845216
DDX39B	0.01061621124	0.0033256568	0.00147702883567568	2.0803e-06	0.00867052023121387	0.00361271676300578	0.00144508670520231	0.0102040816326531	0.00230061349693252	0.0007871041	0.0007892963	0.0007930006	0.0205320605	0.0203076372	1284	1384	1384	1272	1078	1304	6	0.00433526011560694	0	0	0.00111544582857143	0.00112762074444444	0.00490129788	0.0269357559333333	0.01261502087	0.00772680426578947	0.0007791466	0.0007789992	0.0008034025	0.0200235287	0.0033779009	0.0030204939
DDX4	0.017048762298895	0.0054946184	0.0169891136933702	0.0061049669	0.0200279459711225	0.0055891942244993	0.00139729855612483	0.00745920745920746	0.00471253534401508	0.0024441285	0.0004665784	0.0023884834	0.0376928721	0.0251822332	2178	2147	2147	2111	2145	2122	5	0.0107126222636237	0	0	0.00191478922857143	0.00262702648888889	0.0071409678975	0.026603985375	0.0150900787602564	0.0133243405055556	0.0004624345	0.0023055098	0.0023308338	0.0193795015	0.0064985998	0.0044736191
