mean_branch_length_nuc	median_branch_length_nuc	mean_branch_length_pro	media_branch_length_pro	Human_snp_per_gene	Chimp_snp_per_gene	Gorilla_snp_per_gene	Mouse_snp_per_gene	Dog_snp_per_gene	Human_BL	Chimp_BL	Gorilla_BL	Mouse_BL	Dog_BL	Alignment_length	hg18Length	Hg19Length	hg38Length	mouseGRCm38Length	dogCF3_1Length	human_chrom	Human_singleton	Human_deNove	Human_de_nove_event
CDKL4	0.0195783440994595	0.0077129077	0.0145421344091892	0.0070312613	0.0275919732441472	0.00752508361204013	0.00585284280936455	0.00914634146341463	0.00834724540901502	0.0044533211	2.3148e-06	0.0033386452	0.0492173514	0.0293603506	942	1196	1196	1092	984	1198	2	0.0192307692307692	0	0
CDKL5	0.0148720479578035	0.0057015306	0.00699194047572254	0.0018297489	0.0102880658436214	0.00411522633744856	0.000685871056241427	0.00226500566251416	0.00226500566251416	0.0007426057	2.0978e-06	0.0029508714	0.021329477	0.0169957961	2880	2916	2916	2916	2649	2649	X	0.00617283950617284	0	0
CDKN1B	0.0169248431154696	0.0051574982	0.0193114967535912	0.0061269686	0.0529695024077047	0.00160513643659711	0.00160513643659711	0	0.00661157024793388	2.0696e-06	0	0	0.0098235661	0.0327116789	594	623	623	130	128	605	12	0.0385232744783307	0	0
CDKN2AIP	0.019596191683237	0.0072209859	0.0233328136566474	0.0091373903	0.0263605442176871	0.00595238095238095	0.00340136054421769	0	0	2.8385e-06	0.0005783539	0.0034894229	0.0705300571	0.036519336	1749	1176	1176	131	131	269	4	0.016156462585034	0	0
CDKN3	0.0183760490320856	0.005390813	0.0192272391540107	0.0060667677	0.0218978102189781	0.00182481751824818	0.00547445255474453	0	0.00368324125230203	2.4987e-06	0.0015811147	0.0031914151	0.0241880439	0.0162242792	636	548	548	543	576	543	14	0.0164233576642336	0	0
CDNF	0.0278106071945946	0.0115350625	0.0375592332351351	0.0124091982	0.0333333333333333	0.0166666666666667	0.00185185185185185	0.0185185185185185	0.0037037037037037	0.0054201925	0.0053886908	0.0054324211	0.0820510787	0.0305932454	561	540	540	450	270	270	10	0.0203703703703704	0	0
CDO1	0.0165715740184358	0.0074965157	0.0136367033055866	0.0076118245	0.0248138957816377	0	0.00496277915632754	0.00234741784037559	0.00248138957816377	0.0032897372	2.2336e-06	0.0033022962	0.0271697602	0.0178230325	600	403	403	403	426	403	5	0.0173697270471464	0	0
CDON	0.0291891421454545	0.0114758531	0.0300742258411765	0.0123631578	0.0333701047986762	0.00882515168229454	0.00386100386100386	0.00939745715865119	0.00903954802259887	0.0073138048	0.0021413289	0.0036620649	0.0339672201	0.0387982924	3780	3626	3626	3624	3618	3540	11	0.0193050193050193	0	0
CDR2L	0.0180298054628415	0.0083524056	0.0144049757071038	0.0046788149	0.0210772833723653	0.00936768149882904	0	0.00967117988394584	0.00468384074941452	0.0029104214	0.0021769135	0.0021811218	0.0282522256	0.0350173401	1392	427	427	427	517	427	17	0.0117096018735363	0	0
CDS1	0.017626243152514	0.0055180613	0.00872559823407821	0.0035720577	0.0228270412642669	0.00263388937664618	0.00351185250219491	0.00438981562774363	0.00877963125548727	0.003035221	2.5716e-06	0.003030745	0.0249502155	0.0169767022	1353	1139	1139	1139	1139	1139	4	0.0105355575065847	0	0
CDS2	0.0155336618278689	0.0052087564	0.0144361087765027	0.0060376813	0.0143702451394759	0.00760777683854607	0.00253592561284869	0.00939261114589856	0.00609756097560976	0.0023409971	0.0031272771	0.0023425092	0.0333406232	0.0350748084	1290	1183	1183	1168	1597	1148	20	0.00507185122569738	0	0
CDYL2	0.0247170836047904	0.0115418237	0.0119424007502994	0.0055223972	0.0426008968609865	0.00896860986547085	0.0119581464872945	0.00827689992475546	0.0111358574610245	0.0045940128	0.0030876242	0.0030508432	0.032233099	0.0228868282	1338	1338	1338	1479	1329	1347	16	0.023168908819133	0	0
CEBPZ	0.0225928642	0.0081072228	0.0258749239632432	0.0094694869	0.0271419228253761	0.00981033355134074	0.0026160889470242	0.0124101894186806	0.00860479409956976	0.0017696884	0.0003239886	0.0021810972	0.0426558675	0.0293443596	3171	3058	3058	3055	3062	3254	2	0.0173315892740353	0	0
CELF1	0.00898482325026738	0.0028367568	0.000767204310695187	2.0128e-06	0.0158311345646438	0.00197889182058048	0.00131926121372032	0.00132362673726009	0.00397350993377483	0.0012862789	0.0007406869	0.0006752412	0.0077136768	0.0108835615	1539	1516	1516	1513	1511	1510	11	0.0105540897097625	0	0
CELF2	0.00788185209027027	0.003716969	0.00108007685945946	1.6991e-06	0.0137149672033393	0.0035778175313059	0.00417412045319022	0.00224971878515186	0.00315656565656566	0.0020668052	2.9627e-06	0.0013815821	0.0124185395	0.0146177086	1470	1677	1677	1658	1778	1584	10	0.00596302921884317	0	0
CENPI	0.0242197102557377	0.0071512858	0.0412724716557377	0.0118460268	0.0162866449511401	0.00418799441600745	0.00232666356444858	0.00655430711610487	0.00511865984178688	0.0022374823	0.0004526704	0.0055017123	0.0569538013	0.0342300456	2232	2149	2149	2149	2136	2149	X	0.00930665425779432	0	0
CENPJ	0.0284125068852459	0.0115923577	0.0382416905016393	0.0155264691	0.0292006928977976	0.00989853996535511	0.00494926998267755	0.00691421254801537	0.00558233950773915	0.0028043255	0.0007624574	0.0042568352	0.0384375721	0.0354557659	4041	4041	4041	4042	3905	3941	13	0.0188072259341747	0	0
CENPK	0.0225138545502732	0.0062341679	0.0317772716087432	0.0081250666	0.0300375469336671	0.00500625782227785	0.00625782227784731	0.00568181818181818	0.00727802037845706	0.0012697455	2.4991e-06	2.6304e-06	0.0639700109	0.0417247282	807	799	799	690	704	687	5	0.0175219023779725	0	0
CENPL	0.019734075589418	0.0059457697	0.0216535259645503	0.0064233423	0.0196428571428571	0.00982142857142857	0.00178571428571429	0.00722394220846233	0.00623052959501558	0.0029834702	0.0019958653	0.0026508436	0.032085631	0.021008329	1038	1120	1120	1108	969	963	1	0.00982142857142857	0	0
CENPN	0.0269193670297297	0.0084115916	0.0396999217940541	0.0147521369	0.0411877394636015	0.0134099616858238	0.00862068965517241	0.00850159404888417	0.0105596620908131	0.0021199814	0.0009884643	0.0038478697	0.0688827403	0.0342723277	1017	1044	1044	947	941	947	16	0.0239463601532567	0	0
CENPQ	0.0319108594259459	0.0104614614	0.0519539974837838	0.0176565538	0.025974025974026	0.00577200577200577	0.00865800865800866	0.00843881856540084	0.0215175537938845	0.0038125885	0.0013702851	0.0050511089	0.0514064809	0.058640261	801	693	693	712	711	883	6	0.0187590187590188	0	0
CENPT	0.0375924321673797	0.0115236291	0.0515924817871658	0.0163902863	0.0381125226860254	0.00725952813067151	0.000604960677555959	0.0146082337317397	0.00406779661016949	0.0032610383	0.0012381099	0.0060735673	0.0909383051	0.0567489239	1668	1653	1653	1487	1506	1475	16	0.0254083484573503	0	0
CENPW	0.0249898544448087	0.00780193	0.0328462398038251	0.011657863	0.043859649122807	0.0175438596491228	0	0	0.0068259385665529	0.003775708	2.7739e-06	0.0038546187	0.0438140346	0.1730994284	264	114	114	118	118	293	6	0.0175438596491228	0	0
CEP104	0.0359514307828729	0.0150772122	0.0317507531762431	0.0139079907	0.0392083644510829	0.011949215832711	0.00560119492158327	0.00776627218934911	0.0149532710280374	0.0044355868	0.00070976	0.0058159522	0.0405586043	0.0457969546	2775	2678	2678	2822	2704	2675	1	0.0231516056758775	0	0
CEP120	0.0220925659386243	0.0072280515	0.0209255857708995	0.0071208108	0.0220395965633171	0.00747104968248039	0.00224131490474412	0.00835755813953488	0.00820232399179768	0.0020996183	0.0013988693	0.0006983487	0.0477854959	0.0295781465	2961	2677	2677	2677	2752	2926	5	0.0119536794919686	0	0
CEP135	0.0232319255779006	0.0070118895	0.0273063118845304	0.0085506994	0.0264443805691291	0.00747341189997126	0.00229951135383731	0.00833572865766025	0.00433150447588796	0.0017174922	0.0009145655	0.0022566431	0.0518181397	0.0254451961	3417	3479	3479	3479	3479	3463	4	0.0137970681230239	0	0
CEP152	0.0331367821688525	0.0102959989	0.0443543412519126	0.0159236929	0.0262192885955262	0.00861752841950862	0.00476714338100477	0.0123855681206247	0.00967153284671533	0.0035283336	0.0012012955	0.0029000734	0.0551996671	0.0296150283	5154	5454	5454	5580	5571	5480	15	0.0135680234690136	0	0
CEP19	0.017876857673262	0.0064516647	0.0188329393101604	0.0082584341	0.055	0.015	0.005	0.00609756097560976	0	0.0032560668	2.6337e-06	0.00415605	0.0379030642	0.0173541914	489	200	200	200	164	141	3	0.02	0	0
CEP350	0.021121098468306	0.0071184876	0.0248698430508197	0.0093232057	0.0223288814691152	0.00573873121869783	0.00375626043405676	0.00593247761837989	0.00568364611260054	0.0014878203	0.000407399	0.0029090708	0.04582772	0.0292076277	9354	9584	9584	9445	9271	9325	1	0.0132512520868114	0	0
CEP41	0.0211946152144385	0.0077214126	0.0178252534887701	0.0059197304	0.0212765957446809	0.00638297872340425	0	0.00319148936170213	0.010989010989011	0.0009079393	0.0009087316	0.0026941377	0.0264788643	0.0346971904	1119	940	940	940	940	1001	7	0.0159574468085106	0	0
CEP44	0.0271378842854054	0.0093503266	0.0374993810275676	0.0144480893	0.0270531400966184	0.0202898550724638	0.00386473429951691	0.021883920076118	0.00777453838678328	0.0026957528	0.0020149582	0.0025965684	0.0815324521	0.0406881931	1164	1035	1035	1035	1051	1029	4	0.0135265700483092	0	0
CEP55	0.023161738527027	0.0073598853	0.0275971478189189	0.0090761533	0.0332502078137988	0.00748129675810474	0.0058187863674148	0	0.0075	0.0021886168	0.0014499068	0.0021985898	0.0475578787	0.0274734419	1389	1203	1203	1225	1211	1200	10	0.0166251039068994	0	0
CEP57	0.0199541420601093	0.0061894664	0.0218125104754098	0.0083444295	0.026814911706998	0.00719424460431655	0.0026160889470242	0.00408496732026144	0.00803506208911614	0.0006669472	2.6646e-06	0.0020032672	0.0212667356	0.038649724	1500	1529	1529	1227	1224	1369	11	0.0183126226291694	0	0
CEP57L1	0.0256818993358289	0.0082669353	0.0378076747176471	0.010925496	0.0311787072243346	0.0106463878326996	0.00380228136882129	0.00512382578992314	0.00992555831265509	0.000747962	0.0007467426	0.0007491046	0.0504847727	0.0360787349	1374	1315	1315	1280	1171	1209	6	0.0167300380228137	0	0
CEP63	0.0224517662364641	0.0081695087	0.0282034479060773	0.0120602815	0.033041788143829	0.00680272108843537	0.00534499514091351	0.00796999531176746	0.00663716814159292	0.0027645491	2.6708e-06	0.0007325069	0.0282196947	0.0249218817	2106	2058	2058	2266	2133	2260	3	0.0223517978620019	0	0
CEP68	0.0360344814393443	0.0146172031	0.0488313213240437	0.0217331583	0.040447504302926	0.0107573149741824	0.00387263339070568	0.0194503171247357	0.0204081632653061	0.00179303	0.0054166475	0.0063785023	0.0630008059	0.1220364494	2241	2324	2324	2324	2365	2254	2	0.0193631669535284	0	0
CEP76	0.0183066572195531	0.0061398231	0.00946671167150838	0.0022844109	0.0168954593453009	0.00897571277719113	0.00105596620908131	0.00899887514060742	0.00568181818181818	0.0027302258	0.0005575876	0.0036967648	0.0327027224	0.017555696	1977	1894	1894	1894	1778	1936	18	0.0100316789862724	0	0
CEP78	0.0255112039783626	0.0092598964	0.0352326538707602	0.0137894157	0.0255241567912489	0.0072926162260711	0.00319051959890611	0	0.00714002380007933	0.0032531398	0.0014458761	0.0021553279	0.055040932	0.0414186306	2358	2194	2194	1857	2552	2521	9	0.0141294439380128	0	0
CEP85	0.020192038926738	0.0062495974	0.0223477862245989	0.0071923331	0.0297674418604651	0.00790697674418605	0.0027906976744186	0.00140121438580103	0.00646950092421442	0.0008790145	0.0008844167	0.0037743878	0.036939544	0.0230936776	2286	2150	2150	2150	2141	2164	1	0.0167441860465116	0	0
CEP85L	0.0264216299128492	0.0064476056	0.0305135850994413	0.0083490689	0.0302901023890785	0.00639931740614334	0.00383959044368601	0.00468483816013629	0.00313199105145414	0.0013273568	2.2607e-06	0.0008841798	0.0250798144	0.0168646573	2334	2344	2344	2290	2348	2235	6	0.0217576791808874	0	0
CEP89	0.0347828594644809	0.0125510275	0.049631735936612	0.0191718032	0.0310114503816794	0.012881679389313	0.00524809160305344	0.0164489598451863	0.0152453549309195	0.005194551	0.0006834902	0.0054343957	0.0450805404	0.0570994447	2343	2096	2096	2128	2067	2099	19	0.0152671755725191	0	0
CEP95	0.0261684671545455	0.0093083169	0.0369167788010695	0.0138655811	0.0284380305602716	0.0110356536502547	0.00297113752122241	0.00946372239747634	0.0048780487804878	0.0031339717	0.0004264469	0.0030981493	0.0555631857	0.0416085158	2460	2356	2356	2309	2536	2255	17	0.0203735144312394	0	0
CEP97	0.0247847366448649	0.0078028473	0.0306595677189189	0.0103916454	0.0267605633802817	0.00610328638497653	0.00187793427230047	0.00711938663745893	0.00844327176781003	0.0015813889	0.0007886385	0.0030997282	0.0646496657	0.0260021842	2580	2130	2130	1934	1826	1895	3	0.0150234741784038	0	0
CEPT1	0.0110500457647059	0.003874591	0.00396212024438503	2.7458e-06	0.012639405204461	0.00743494423791822	0.00223048327137546	0.00464756003098373	0.003813882532418	0.0008355122	2.079e-06	0.0016739361	0.0156211023	0.0192648421	1248	1345	1345	1289	1291	1311	1	0.00669144981412639	0	0
CERKL	0.0235207201368984	0.0092351637	0.029926294857754	0.011250686	0.0354330708661417	0.00731158605174353	0.0061867266591676	0.0128491620111732	0.00939261114589856	0.0013894398	0.0048535818	0.0047730188	0.091769589	0.0411938906	1515	1778	1778	1717	1790	1597	2	0.0191226096737908	0	0
CERS3	0.024596521878453	0.0094072898	0.0360801585154696	0.0136063516	0.036	0.008	0.005	0.005	0.0058972198820556	0.0008865167	0.0017752213	0.0027049529	0.0316309819	0.0331370136	1149	1000	1000	1000	1000	1187	15	0.022	0	0
CERS5	0.0145851227858757	0.0046964996	0.0170461534169492	0.0068527315	0.0213549337260677	0.00662739322533137	0.00368188512518409	0.00480769230769231	0.00407497962510187	0.0033183434	0.0009287045	0.0028002455	0.063076399	0.0209484041	1113	1358	1358	1488	832	1227	12	0.0117820324005891	0	0
CERS6	0.0149973600894737	0.0056822947	0.0126391921070175	0.0031596507	0.0186915887850467	0.00116822429906542	0.00116822429906542	0.00350467289719626	0	0.0009201388	0.0009222963	NA	0.0128933051	0.0268849811	1176	856	856	856	856	1019	2	0.0105140186915888	0	0
CETN3	0.0108868865989418	0.002471153	0.00378141561216931	2.0332e-06	0.0155339805825243	0.0058252427184466	0	0.00225733634311512	0.00764818355640535	1.9831e-06	1.9831e-06	1.9831e-06	0.017499057	0.0071719825	501	515	515	515	443	523	5	0.00776699029126214	0	0
CFI	0.036128312612973	0.0155710852	0.0607901612918919	0.0264077646	0.0330788804071247	0.00636132315521628	0.00572519083969466	0.022121014964216	0.0150819672131148	0.006691614	0.0012023302	NA	0.0755634364	0.0646076304	1659	1572	1572	1623	1537	1525	4	0.0209923664122137	0	0
CFLAR	0.0355846822761905	0.0120744417	0.0548294788021164	0.0181406855	0.0189237137788291	0.00354819633353046	0.00236546422235364	0.00144822592324403	0.00766961651917404	0.0013988368	0.0004420838	0.0042130478	0.0642277487	0.0449465434	1440	1691	1691	1130	1381	1695	2	0.0106445890005914	0	0
CFP	0.0359459922234973	0.014994923	0.0504493366431694	0.0226375479	0.0128939828080229	0.00214899713467049	0.00286532951289398	0.00515021459227468	0.0078740157480315	0.0029034409	0.0007149737	2.6149e-06	0.0400976326	0.0704240935	1395	1396	1396	1396	1165	1397	X	0.00501432664756447	0	0
CFTR	0.0229343147212121	0.0072783352	0.0274973873872727	0.0100311437	0.0368705035971223	0.0085431654676259	0.00337230215827338	0.00574575053866411	0.0103324348607367	0.0020355799	0.0004612	NA	0.036011116	0.05625749	4410	4448	4448	4347	4177	4452	7	0.0224820143884892	0.000224820143884892	1
CGN	0.0234326971387978	0.0078795424	0.0252847076967213	0.009695361	0.0393544733861835	0.00792751981879955	0.000566251415628539	0.0175539568345324	0.0135603000577034	0.0022407901	0.0005568147	0.0022813093	0.0354028289	0.053659365	3594	3532	3532	3489	3475	3466	1	0.0209513023782559	0	0
CGRRF1	0.0187822362724324	0.0064359599	0.0188321964859459	0.0078930753	0.0197674418604651	0.00930232558139535	0.00581395348837209	0.00704225352112676	0.00522648083623693	2.1767e-06	2.2214e-06	0.0072344935	0.0405879538	0.0260540755	996	860	860	574	710	574	14	0.0127906976744186	0	0
CHAC2	0.014380120621547	0.0049452779	0.0127894862801105	0.0073649651	0.0555555555555556	0	0.0277777777777778	0	0	0.0036605296	2.6632e-06	0.0055074649	0.0193542392	0.0129476018	552	36	36	36	36	36	2	0.0555555555555556	0	0
CHAF1B	0.0315158405816216	0.0101865891	0.0268304315048649	0.0109047531	0.0243079000675219	0.0101282916948008	0.00270087778528022	0.0116136919315403	0.00928217821782178	0.0030094553	0.0006018715	0.0042144025	0.0552450353	0.0502193408	1677	1481	1481	1462	1636	1616	21	0.012153950033761	0	0
CHAT	0.024662423642623	0.0111869731	0.0242700432065574	0.0119590218	0.043815609310817	0.00775901414879051	0.00912825193975354	0.00566037735849057	0.0113285272914521	0.0024692826	0.0041963255	0.0045525695	0.0260052987	0.0439210271	1923	2191	2191	2191	1590	1942	10	0.0228206298493838	0.000456412596987677	1
CHD1	0.0141248311229947	0.0038888672	0.0074093809459893	0.0019917733	0.0155656108597285	0.00416289592760181	0.0016289592760181	0.00527760185771585	0.00253324889170361	0.001239009	0.000410895	0.0029724117	0.03738907	0.0144747786	5115	5525	5525	4998	4737	4737	5	0.0104977375565611	0	0
CHD1L	0.0246113055836066	0.0078301066	0.0249009020360656	0.0101016248	0.0379218809252939	0.00948047023132347	0.00379218809252939	0.0131480090157776	0.00625	0.0013019171	0.0023159667	0.0067541315	0.0438644529	0.0424674537	2637	2637	2637	2659	2662	2080	1	0.0204778156996587	0	0
CHD2	0.0162464662037838	0.0055056916	0.00712120296864865	0.0026419915	0.0168735453840186	0.00446082234290147	0.00213343677269201	0.00393081761006289	0.00276446737928492	0.0013399518	0.0005721017	0.0025166507	0.0281959907	0.0198021188	5424	5156	5156	5091	5088	5426	15	0.011055081458495	0	0
CHD3	0.0138292277562842	0.0057518134	0.0056738858852459	0.0021959472	0.0169755489799097	0.00451643046254478	0.00140165083320355	0.0050620509470934	0.00753390256152687	0.0012965843	0.000370106	0.001679553	0.0316826167	0.0395808266	5490	6421	6421	6177	6124	5973	17	0.0118361625914967	0	0
CHD4	0.0139840613729282	0.0048862634	0.00355423566685083	0.0010298393	0.0139542996685854	0.00488400488400488	0.000697714983429269	0.00645855758880517	0.00430440771349862	0.0009761984	0.0005213683	0.0018086117	0.0305074592	0.0212143944	5736	5733	5733	5714	5574	5808	12	0.00715157858015001	0	0
CHD6	0.0201554380248649	0.0082033731	0.0186920845243243	0.0080948407	0.0219914477703115	0.00745265729993891	0.00207697006719609	0.00318780318780319	0.00665004156275977	0.0014903869	0.0004955515	0.0035007922	0.0264393683	0.0360611117	8154	8185	8185	7218	7215	7218	20	0.0146609651802077	0.000122174709835064	1
CHD7	0.0153786050786096	0.0061188062	0.0108349831550802	0.0043708535	0.0235767682576193	0.0039102932719954	0.00149511213341001	0.00432292229547174	0.0053481772538747	0.0009631285	0.0001902768	0.0023842448	0.0270315232	0.0297806312	8979	8695	8695	8340	9253	9162	8	0.0139160437032777	0	0
CHD8	0.0105003202491892	0.0043964118	0.00453157101351351	0.0016329942	0.014159074119675	0.00677173110071411	0.00098497906919478	0.00498115239633818	0.00250281566762608	0.0013012665	0.0001307088	0.0010506744	0.0214579233	0.0173735773	7749	8122	8122	7247	7428	7991	14	0.00898793400640236	0	0
CHDH	0.0299577678338798	0.0116463177	0.0384437437043716	0.0149070773	0.0294736842105263	0.00421052631578947	0.00421052631578947	0.0203794799718904	0.0109748224661072	0.0017107324	0.0005878296	0.0034029866	0.0417461785	0.0757918906	1746	1425	1425	1428	1423	1549	3	0.0119298245614035	0	0
CHEK1	0.0145160158286486	0.0045841256	0.00659569103081081	0.0025858377	0.0158038147138965	0.00217983651226158	0.00381471389645777	0.00517751479289941	0.00478011472275335	0.0025143733	2.3757e-06	0.0016863946	0.0203991861	0.0183753857	1428	1835	1835	1542	1352	1046	11	0.0114441416893733	0	0
CHEK2	0.0209346682688525	0.0069539006	0.022219302515847	0.007821593	0.0284182305630027	0.00482573726541555	0.00107238605898123	0.00440528634361234	0.00126984126984127	0.0007680836	0.0008656574	0.0015226121	0.0538118799	0.0229629832	1611	1865	1865	1858	1816	1575	22	0.0176943699731903	0	0
CHFR	0.0278359482248649	0.0134019269	0.0278930153551351	0.0124353111	0.037270087124879	0.0101645692158761	0.00387221684414327	0.00967906265919511	0.00614124872057318	0.0015691332	0.0007301898	0.0060900212	0.0293043144	0.0473528049	1938	2066	2066	2057	1963	1954	12	0.0227492739593417	0.000484027105517909	1
CHGB	0.0369614234989418	0.0126574869	0.0529587613132275	0.0186840322	0.0330361824855794	0.0157315154693235	0.00891452543261667	0.0125852123754588	0.0106553010122536	0.0051880614	0.0028223885	0.0084762408	0.0448625862	0.0470340522	1983	1907	1907	1907	1907	1877	20	0.0167802831672784	0	0
CHIC2	0.00577582402265193	0.0020197403	0.00124557731767956	0	0.0134228187919463	0	0	0	0	2.5925e-06	0.002003274	0.0101316396	0.0056047823	2.8099e-06	495	447	447	328	328	328	4	0.00894854586129754	0	0
CHL1	0.0283482911956284	0.0095110829	0.0322549713852459	0.0104056439	0.0361707914060375	0.0152298069078053	0.00516725591514822	0.00712166172106825	0.0106824925816024	0.0033255358	0.0025424785	0.0059609646	0.03720307	0.0300364476	3672	3677	3677	3367	3370	3370	3	0.0239325537122654	0	0
CHMP2B	0.0100245305919786	0.0031610246	0.00153553025935829	2.1358e-06	0.0261569416498994	0.00402414486921529	0.00603621730382294	0.00402414486921529	0.00201207243460765	0.0016301482	0.0015574692	0.0015465024	0.0279950903	0.0199120238	639	497	497	497	497	497	3	0.0160965794768612	0	0
CHMP4B	0.0154096710565714	0.0061683281	0.00621087699314286	2.2311e-06	0.0214285714285714	0	0.00476190476190476	0	0.00952380952380952	2.673e-06	0.0015767382	0.0013969509	0.0173350525	0.0166395753	672	420	420	420	420	420	20	0.0142857142857143	0	0
CHMP4C	0.0228100412551351	0.008001303	0.0265598959275676	0.0110632123	0.0380313199105145	0.0156599552572707	0.00671140939597315	0.0186781609195402	0.0196078431372549	0.0014499113	2.3843e-06	0.0043864561	0.0436405134	0.0742835966	699	447	447	447	696	459	8	0.0246085011185682	0	0
CHMP5	0.0130137192192513	0.0036089118	0.00261357454010695	2.1172e-06	0.012962962962963	0.0037037037037037	0.0037037037037037	0.00555555555555556	0.00555555555555556	0.0030968253	0.0015310513	0.0015408391	0.0334946411	0.0111662764	657	540	540	540	540	540	9	0.00925925925925926	0	0
CHN1	0.0117198659825397	0.0042258842	0.0024147696021164	2.3626e-06	0.0216783216783217	0.0041958041958042	0.0013986013986014	0.00651890482398957	0.00262697022767075	2.1023e-06	0.0008329555	0.0008316146	0.0107541294	0.0191185059	1221	1430	1430	1189	1534	1142	2	0.013986013986014	0	0
CHN2	0.0161724246819672	0.0058664235	0.00382800143551913	2.3312e-06	0.0255623721881391	0.0081799591002045	0.00204498977505112	0.0131944444444444	0.00505902192242833	0.0012318639	0.0012142875	0.001211595	0.0136287367	0.0239068997	828	1956	1956	1575	1440	1186	7	0.016359918200409	0	0
CHODL	0.0199497302169312	0.0065665485	0.0132025176687831	0.0043842531	0.033434650455927	0.0060790273556231	0.00455927051671732	0.00484261501210654	0.00271370420624152	0.0016253328	2.192e-06	2.192e-06	0.0402093121	0.0290966656	819	658	658	658	826	737	21	0.0243161094224924	0	0
CHORDC1	0.0149356345430939	0.0064766459	0.0136214110314917	0.0041039175	0.0114068441064639	0.00285171102661597	0.00190114068441065	0.00253807106598985	0.00634517766497462	0.0021046194	0.0010398419	0.0105981967	0.0233139364	0.0184242724	996	1052	1052	851	788	788	11	0.00855513307984791	0	0
CHP1	0.0104121314176471	0.0034079974	0.00042426506631016	0	0.0131086142322097	0.00374531835205993	0	0.00214132762312634	0.00214132762312634	2.5411e-06	2.3973e-06	2.372e-06	0.0205941331	0.0203735843	585	534	534	467	467	467	15	0.00749063670411985	0	0
CHPT1	0.0158641999544379	0.0048612562	0.0149359350934911	0.0047711601	0.0227457351746548	0.0121852152721365	0.00324939073923639	0.00620636152055857	0.00337552742616034	0.0079267508	3.088e-06	0.0014068825	0.025494688	0.0093213615	792	1231	1231	903	1289	1185	12	0.0113728675873274	0	0
CHRNA1	0.0227234165100529	0.009543631	0.0140609496174603	0.0075072421	0.0359550561797753	0.00749063670411985	0.0052434456928839	0.0108423686405338	0.0058055152394775	0.003797623	2.8938e-06	0.002849018	0.0331465918	0.034418507	1371	1335	1335	1274	1199	1378	2	0.0232209737827715	0	0
CHRNA3	0.0296431825339181	0.0135201326	0.0255517019099415	0.0091001751	0.0310693641618497	0.0173410404624277	0.00216763005780347	0.00612088752869166	0.0111396743787489	0.0026079159	0.0017350634	0.0043563108	0.0332666012	0.0808663988	1419	1384	1384	1307	1307	1167	15	0.0187861271676301	0	0
CHRNA9	0.0244382060743316	0.0074183211	0.0235661549983957	0.0091893212	0.0484210526315789	0.0115789473684211	0.00631578947368421	0.00839328537170264	0.0113333333333333	0.0021054615	0.0021008411	NA	0.0391824958	0.030410247	1437	950	950	834	834	1500	4	0.0242105263157895	0.00105263157894737	1
CHRNB3	0.0274948683043243	0.0125010897	0.0257840068545946	0.0106016963	0.0243492863140218	0.00671704450041982	0.00335852225020991	0.0165152766308836	0.0142857142857143	0.0022829092	0.0007621591	0.0062607236	0.0379857115	0.0696632172	1323	1191	1191	1190	1211	1190	8	0.0109151973131822	0	0
CHST10	0.0232979283481283	0.0111464048	0.0185713437315508	0.0085006743	0.0364842454394693	0.0124378109452736	0.000829187396351575	0.0123893805309735	0.00719424460431655	0.0009546732	2.19e-06	0.0036929137	0.028334221	0.0387743048	1068	1206	1206	565	565	556	2	0.0174129353233831	0	0
CHST15	0.0271049248151351	0.0105567425	0.0258681427340541	0.0089722375	0.0418521816562778	0.00890471950133571	0.00890471950133571	0.00737618545837724	0.0126448893572181	0.0021658673	0.0011552553	0.006508507	0.0291448284	0.0296246493	1683	1123	1123	949	949	949	10	0.0204808548530721	0	0
CHST9	0.0238021219470588	0.0086834595	0.0274581839481283	0.0107971807	0.0504201680672269	0.0252100840336134	0.00840336134453781	0.00657414170927684	0	0.001649018	0.0056177751	0.0024952392	0.0360442775	0.0235291804	1224	119	119	119	1369	266	18	0.0168067226890756	0	0
CHUK	0.0120534305368984	0.0039038536	0.0095816288540107	0.0037350932	0.0156918687589158	0.0019020446980504	0.000951022349025202	0	0.00407608695652174	0.000922278	0.000449002	0.0008034818	0.0246470242	0.0154071517	2235	2103	2103	2103	2277	2208	10	0.00998573466476462	0.000475511174512601	1
CIDEC	0.0294794033153005	0.0105587855	0.0336839982622951	0.0138862072	0.0509031198686371	0.0114942528735632	0	0.00815660685154975	0.0159680638722555	0.007272502	2.2925e-06	0.0060103054	0.037950479	0.0414278693	714	609	609	609	613	501	3	0.0311986863711002	0	0
CILP	0.0242093359448649	0.0087450162	0.0273676203902703	0.0113080698	0.0302886890676763	0.00638902035021297	0.00378608613345954	0.0102040816326531	0.0124681933842239	0.0029016948	0.0009336478	NA	0.0267775722	0.0371369417	3510	4226	4226	4226	3920	3930	15	0.0170373876005679	0.000473260766682442	2
CINP	0.0308049035245902	0.0124885791	0.0416924977874317	0.0171544081	0.026685393258427	0.0112359550561798	0.00561797752808989	0.0138169257340242	0.020979020979021	0.0032699823	2.5256e-06	0.0016036275	0.031681275	0.0614236069	630	712	712	429	579	429	14	0.0126404494382022	0	0
